CustomerID,Gender,Age,Tenure_Months,ContractType,MonthlyCharges,InternetService,TechSupport,OnlineSecurity,PaymentMethod,Complaints,TotalCharges,Churn
CUST0044,Female,46,51,Month-to-Month,100,FiberOptic,Yes,No,BankTransfer,No,5109,No
CUST0045,Female,35,38,Month-to-Month,77,DSL,No,No,CreditCard,Yes,2974,No
CUST0046,Female,48,20,Two-Year,33,FiberOptic,No,No,BankTransfer,Yes,709,No
CUST0047,Female,47,29,Month-to-Month,112,FiberOptic,No,Yes,Cash,No,3156,No
CUST0048,Male,69,51,Month-to-Month,39,FiberOptic,No,Yes,BankTransfer,Yes,2050,No
CUST0049,Female,56,4,Two-Year,49,No,No,No,EWallet,No,282,No
CUST0050,Female,52,55,Two-Year,38,DSL,Yes,No,BankTransfer,Yes,2143,No
CUST0051,Male,35,71,One-Year,72,DSL,No,Yes,EWallet,No,5140,No
CUST0052,Female,59,28,Month-to-Month,75,FiberOptic,No,Yes,EWallet,No,2107,No
CUST0053,Male,56,4,Month-to-Month,96,FiberOptic,Yes,No,CreditCard,No,416,No
CUST0054,Female,34,22,Month-to-Month,101,DSL,Yes,No,EWallet,Yes,2290,Yes
CUST0055,Male,31,45,Month-to-Month,42,FiberOptic,No,Yes,BankTransfer,No,1980,Yes
CUST0056,Female,48,67,Month-to-Month,81,No,No,Yes,Cash,No,5476,No
CUST0057,Female,41,66,Month-to-Month,52,No,Yes,No,BankTransfer,No,3399,No
CUST0058,Male,52,34,Two-Year,37,DSL,No,No,Cash,No,1333,No
CUST0059,Male,61,55,Month-to-Month,92,FiberOptic,No,No,EWallet,No,5025,No
CUST0060,Male,62,1,One-Year,52,FiberOptic,No,No,CreditCard,No,95,Yes
CUST0061,Male,51,38,One-Year,51,FiberOptic,No,No,EWallet,No,1890,No
CUST0062,Male,20,6,Month-to-Month,80,FiberOptic,No,No,EWallet,No,507,Yes
CUST0063,Male,54,25,One-Year,73,FiberOptic,Yes,No,Cash,No,1789,Yes
CUST0064,Male,60,17,Month-to-Month,36,FiberOptic,Yes,Yes,BankTransfer,Yes,575,No
CUST0065,Male,57,61,Month-to-Month,38,DSL,No,No,CreditCard,No,2285,Yes
CUST0066,Female,43,12,One-Year,110,FiberOptic,No,No,CreditCard,No,1410,No
CUST0067,Female,40,6,Month-to-Month,89,FiberOptic,No,No,CreditCard,No,495,Yes
CUST0068,Male,61,27,Two-Year,118,DSL,No,No,CreditCard,No,3166,No
CUST0069,Female,56,8,Month-to-Month,53,No,No,No,BankTransfer,No,394,Yes
CUST0070,Female,32,65,Month-to-Month,103,FiberOptic,No,No,CreditCard,No,6708,Yes
CUST0071,Female,66,57,Month-to-Month,44,FiberOptic,Yes,Yes,Cash,No,2580,Yes
CUST0072,Female,21,40,Month-to-Month,87,DSL,Yes,No,Cash,No,3431,No
CUST0073,Male,46,14,Month-to-Month,93,FiberOptic,No,No,CreditCard,No,1317,Yes
CUST0074,Female,39,35,One-Year,93,DSL,Yes,No,CreditCard,No,3279,Yes
CUST0075,Male,42,48,Two-Year,107,DSL,Yes,No,BankTransfer,No,5162,No
CUST0076,Female,30,56,Two-Year,104,FiberOptic,No,No,BankTransfer,No,5788,No
CUST0077,Female,35,49,Month-to-Month,30,FiberOptic,No,No,CreditCard,No,1499,No
CUST0078,Female,50,13,One-Year,110,FiberOptic,No,Yes,BankTransfer,No,1506,Yes
CUST0079,Male,33,61,One-Year,35,DSL,Yes,Yes,EWallet,Yes,2056,No
CUST0080,Female,62,49,One-Year,109,FiberOptic,Yes,No,CreditCard,No,5397,No
CUST0081,Male,59,46,Month-to-Month,80,DSL,No,No,BankTransfer,No,3742,No
CUST0082,Female,61,62,One-Year,113,No,No,No,Cash,No,6981,Yes
CUST0083,Male,19,8,Two-Year,99,FiberOptic,No,No,CreditCard,Yes,843,No
CUST0084,Female,52,43,Month-to-Month,26,FiberOptic,No,Yes,CreditCard,No,1111,Yes
CUST0085,Male,59,20,Two-Year,35,DSL,No,No,Cash,No,757,Yes
CUST0086,Male,51,39,Month-to-Month,118,DSL,No,Yes,Cash,No,4671,No
CUST0087,Female,47,49,Month-to-Month,35,No,Yes,No,BankTransfer,No,1685,Yes
CUST0088,Male,30,64,Month-to-Month,59,DSL,No,No,Cash,No,3781,No
CUST0089,Female,30,62,Month-to-Month,31,FiberOptic,No,No,EWallet,No,1871,Yes
CUST0090,Female,35,54,Month-to-Month,54,FiberOptic,No,Yes,CreditCard,Yes,2917,No
CUST0091,Female,49,9,Two-Year,40,DSL,No,Yes,EWallet,No,458,No
CUST0092,Female,49,37,Month-to-Month,69,FiberOptic,Yes,No,BankTransfer,Yes,2640,No
CUST0093,Female,52,49,Two-Year,62,FiberOptic,No,No,Cash,No,3050,Yes
CUST0094,Female,56,41,Two-Year,119,DSL,No,No,CreditCard,No,4808,No
CUST0095,Female,63,17,Month-to-Month,36,DSL,Yes,Yes,Cash,No,523,No
CUST0096,Female,69,21,Two-Year,51,DSL,Yes,No,Cash,No,1147,No
CUST0097,Female,46,51,Two-Year,60,FiberOptic,No,No,BankTransfer,Yes,3041,No
CUST0098,Female,66,59,One-Year,25,FiberOptic,No,No,BankTransfer,No,1420,No
CUST0099,Female,46,39,One-Year,107,DSL,Yes,No,BankTransfer,Yes,4243,No
CUST0100,Male,61,55,Two-Year,46,DSL,No,Yes,BankTransfer,Yes,2559,No
CUST0101,Male,33,41,One-Year,39,FiberOptic,Yes,No,CreditCard,No,1595,No
CUST0102,Female,61,39,Month-to-Month,44,FiberOptic,No,No,EWallet,Yes,1695,No
CUST0103,Female,64,13,Two-Year,85,FiberOptic,No,No,EWallet,No,1058,No
CUST0104,Female,27,64,One-Year,28,DSL,Yes,No,CreditCard,No,1726,No
CUST0105,Female,47,11,Month-to-Month,111,DSL,No,No,Cash,Yes,1172,No
CUST0106,Female,42,19,Month-to-Month,72,FiberOptic,Yes,Yes,CreditCard,Yes,1428,Yes
CUST0107,Female,56,11,One-Year,80,No,No,No,EWallet,No,863,No
CUST0108,Female,37,46,Month-to-Month,57,DSL,Yes,No,EWallet,No,2593,Yes
CUST0109,Female,22,45,Two-Year,22,FiberOptic,No,No,CreditCard,No,1068,No
CUST0110,Male,18,1,Month-to-Month,103,FiberOptic,Yes,Yes,BankTransfer,No,28,No
CUST0111,Female,47,40,Month-to-Month,89,FiberOptic,No,No,Cash,No,3649,No
CUST0112,Male,66,19,Month-to-Month,116,DSL,No,Yes,CreditCard,No,2164,No
CUST0113,Female,20,61,Month-to-Month,74,FiberOptic,Yes,Yes,EWallet,No,4567,No
CUST0114,Female,62,12,One-Year,20,FiberOptic,No,No,BankTransfer,No,176,Yes
CUST0115,Male,31,61,Two-Year,89,FiberOptic,Yes,No,Cash,No,5486,Yes
CUST0116,Female,47,33,Two-Year,64,DSL,No,No,EWallet,No,2106,Yes
CUST0117,Male,67,45,Month-to-Month,117,DSL,Yes,No,Cash,No,5175,Yes
CUST0118,Female,21,69,Month-to-Month,66,DSL,No,No,BankTransfer,No,4634,No
CUST0119,Female,35,8,Two-Year,98,FiberOptic,No,No,EWallet,Yes,724,No
CUST0120,Male,54,25,Two-Year,45,DSL,No,No,BankTransfer,No,1157,No
CUST0121,Female,42,46,Month-to-Month,33,FiberOptic,No,Yes,CreditCard,No,1483,No
CUST0122,Male,65,30,Month-to-Month,73,DSL,No,No,CreditCard,No,2230,No
CUST0123,Female,18,47,Month-to-Month,90,FiberOptic,No,No,Cash,Yes,4320,Yes
CUST0124,Male,63,49,Two-Year,65,FiberOptic,No,No,BankTransfer,No,3237,No
CUST0125,Male,32,47,One-Year,50,DSL,No,No,BankTransfer,No,2421,Yes
CUST0126,Female,26,18,Month-to-Month,107,DSL,Yes,Yes,Cash,No,1967,No
CUST0127,Female,32,66,Month-to-Month,78,DSL,No,No,Cash,Yes,5116,Yes
CUST0128,Male,66,68,Two-Year,114,FiberOptic,No,Yes,Cash,No,7710,No
CUST0129,Female,41,33,Month-to-Month,48,FiberOptic,No,No,CreditCard,Yes,1667,No
CUST0130,Female,21,36,Month-to-Month,115,DSL,No,Yes,Cash,No,4219,Yes
CUST0131,Female,29,19,Month-to-Month,36,FiberOptic,Yes,No,CreditCard,No,649,Yes
CUST0132,Male,54,28,Month-to-Month,33,DSL,No,No,Cash,Yes,891,Yes
CUST0133,Male,54,40,Month-to-Month,55,DSL,Yes,No,BankTransfer,No,2111,No
CUST0134,Male,60,15,Two-Year,77,DSL,Yes,No,BankTransfer,No,1122,Yes
CUST0135,Male,23,41,Two-Year,43,FiberOptic,Yes,No,Cash,No,1833,Yes
CUST0136,Male,56,39,Two-Year,82,DSL,No,No,Cash,No,3170,No
CUST0137,Male,63,2,Two-Year,110,DSL,Yes,No,CreditCard,No,125,No
CUST0138,Male,41,63,Month-to-Month,44,DSL,Yes,No,EWallet,No,2686,No
CUST0139,Male,28,29,Two-Year,78,DSL,No,No,CreditCard,No,2203,No
CUST0140,Male,30,66,Month-to-Month,51,FiberOptic,Yes,Yes,BankTransfer,No,3296,No
CUST0141,Female,51,51,One-Year,101,DSL,Yes,No,Cash,No,5231,No
CUST0142,Male,42,10,Two-Year,37,DSL,Yes,Yes,BankTransfer,Yes,275,No
CUST0143,Female,24,14,Month-to-Month,56,FiberOptic,No,No,EWallet,No,716,No
CUST0144,Female,69,51,Month-to-Month,45,DSL,No,No,CreditCard,No,2351,Yes
CUST0145,Female,21,39,Month-to-Month,28,FiberOptic,Yes,No,BankTransfer,No,1012,Yes
CUST0146,Male,25,28,Month-to-Month,118,FiberOptic,No,No,CreditCard,No,3327,Yes
CUST0147,Male,37,3,Month-to-Month,83,DSL,No,No,Cash,No,330,No
CUST0148,Male,46,70,Two-Year,91,FiberOptic,No,Yes,BankTransfer,No,6453,No
CUST0149,Male,68,27,Two-Year,39,DSL,No,No,EWallet,No,1046,Yes
CUST0150,Female,62,2,Month-to-Month,73,FiberOptic,No,Yes,CreditCard,No,194,Yes
CUST0151,Male,63,38,Month-to-Month,105,FiberOptic,No,No,CreditCard,Yes,3989,Yes
CUST0152,Male,27,3,Month-to-Month,102,DSL,Yes,Yes,EWallet,No,260,No
CUST0153,Male,60,16,Two-Year,49,FiberOptic,Yes,No,BankTransfer,No,869,No
CUST0154,Male,51,40,Month-to-Month,72,FiberOptic,No,No,BankTransfer,No,2843,Yes
CUST0155,Male,43,2,Month-to-Month,111,No,Yes,Yes,CreditCard,No,207,Yes
CUST0156,Female,58,41,Month-to-Month,118,FiberOptic,No,No,EWallet,Yes,4911,Yes
CUST0157,Male,66,12,Month-to-Month,82,FiberOptic,No,No,CreditCard,Yes,905,Yes
CUST0158,Female,20,35,Month-to-Month,30,DSL,No,No,CreditCard,No,1009,No
CUST0159,Male,23,65,Two-Year,50,DSL,No,No,Cash,No,3253,No
CUST0160,Female,22,55,Month-to-Month,68,FiberOptic,No,Yes,BankTransfer,No,3778,Yes
CUST0161,Male,22,45,One-Year,119,DSL,Yes,Yes,BankTransfer,No,5301,No
CUST0162,Male,64,62,Month-to-Month,113,No,No,No,Cash,No,7064,No
CUST0163,Female,40,49,One-Year,106,DSL,No,No,BankTransfer,Yes,5170,No
CUST0164,Female,66,25,One-Year,38,DSL,No,No,BankTransfer,No,867,No
CUST0165,Female,26,23,Month-to-Month,31,DSL,No,Yes,BankTransfer,No,634,No
CUST0166,Male,52,24,Month-to-Month,34,FiberOptic,No,Yes,EWallet,No,899,No
CUST0167,Female,37,38,Month-to-Month,50,FiberOptic,No,No,Cash,No,1944,No
CUST0168,Male,66,28,Two-Year,62,FiberOptic,No,Yes,CreditCard,No,1673,Yes
CUST0169,Male,59,21,Month-to-Month,56,DSL,No,No,EWallet,No,1100,Yes
CUST0170,Female,52,54,Two-Year,98,FiberOptic,No,Yes,CreditCard,No,5223,No
CUST0171,Female,67,18,Month-to-Month,48,DSL,No,Yes,Cash,No,906,No
CUST0172,Male,35,36,One-Year,45,FiberOptic,No,No,Cash,Yes,1532,No
CUST0173,Male,34,45,One-Year,21,FiberOptic,Yes,No,Cash,No,1030,No
CUST0174,Female,41,53,One-Year,103,DSL,No,No,BankTransfer,No,5536,No
CUST0175,Female,20,30,Month-to-Month,34,FiberOptic,No,Yes,EWallet,No,930,No
CUST0176,Female,49,60,Month-to-Month,23,FiberOptic,No,No,Cash,No,1292,No
CUST0177,Male,52,32,One-Year,105,DSL,No,No,CreditCard,No,3356,No
CUST0178,Male,55,67,Month-to-Month,69,FiberOptic,Yes,No,BankTransfer,No,4700,Yes
CUST0179,Male,30,67,Month-to-Month,57,FiberOptic,Yes,No,BankTransfer,No,3819,Yes
CUST0180,Male,64,28,Month-to-Month,42,DSL,Yes,No,EWallet,Yes,1113,Yes
CUST0181,Male,42,44,Month-to-Month,78,DSL,Yes,No,EWallet,No,3332,No
CUST0182,Male,26,41,Month-to-Month,109,FiberOptic,No,No,EWallet,Yes,4407,Yes
CUST0183,Female,21,63,Month-to-Month,94,FiberOptic,No,No,BankTransfer,No,5848,No
CUST0184,Male,31,23,Month-to-Month,47,FiberOptic,No,Yes,Cash,Yes,1016,Yes
CUST0185,Male,54,48,One-Year,85,FiberOptic,No,No,CreditCard,No,4139,No
CUST0186,Male,51,32,One-Year,27,FiberOptic,Yes,No,Cash,Yes,932,No
CUST0187,Female,28,57,Two-Year,48,No,Yes,No,CreditCard,No,2778,No
CUST0188,Male,58,33,Two-Year,30,FiberOptic,Yes,No,Cash,No,920,No
CUST0189,Male,20,24,Month-to-Month,37,FiberOptic,No,No,EWallet,No,914,No
CUST0190,Female,45,39,Month-to-Month,74,DSL,No,No,CreditCard,No,2791,No
CUST0191,Male,46,34,Month-to-Month,69,DSL,Yes,Yes,BankTransfer,No,2334,No
CUST0192,Male,26,56,Month-to-Month,33,DSL,No,No,CreditCard,No,1927,No
CUST0193,Male,20,28,Two-Year,93,FiberOptic,Yes,No,BankTransfer,Yes,2653,Yes
CUST0194,Male,42,37,Month-to-Month,118,FiberOptic,No,No,Cash,No,4296,No
CUST0195,Male,51,7,Month-to-Month,28,DSL,No,No,EWallet,No,195,Yes
CUST0196,Female,29,68,Month-to-Month,118,DSL,No,Yes,CreditCard,No,7996,Yes
CUST0197,Female,59,37,Month-to-Month,30,FiberOptic,No,No,BankTransfer,No,1055,No
CUST0198,Female,26,56,One-Year,82,DSL,No,Yes,Cash,No,4686,No
CUST0199,Male,32,65,Month-to-Month,95,FiberOptic,Yes,No,EWallet,No,6171,Yes
CUST0200,Male,57,65,Two-Year,86,FiberOptic,No,No,EWallet,No,5660,No
CUST0201,Male,42,47,Month-to-Month,72,FiberOptic,No,No,EWallet,No,3284,No
CUST0202,Female,22,20,Month-to-Month,58,DSL,No,No,Cash,Yes,1231,Yes
CUST0203,Male,28,19,Two-Year,97,DSL,No,No,Cash,No,1799,No
CUST0204,Male,51,29,Month-to-Month,75,FiberOptic,No,No,Cash,Yes,2083,Yes
CUST0205,Female,41,60,Two-Year,47,No,No,No,EWallet,No,2724,No
CUST0206,Male,32,18,Two-Year,94,FiberOptic,Yes,No,CreditCard,No,1670,No
CUST0207,Female,55,35,One-Year,58,DSL,No,Yes,BankTransfer,No,2043,No
CUST0208,Female,25,43,One-Year,44,FiberOptic,Yes,No,Cash,No,1800,No
CUST0209,Female,22,11,Month-to-Month,40,No,Yes,No,CreditCard,No,512,No
CUST0210,Male,65,49,Two-Year,29,FiberOptic,No,Yes,BankTransfer,No,1344,No
CUST0211,Male,43,38,Month-to-Month,62,No,No,No,EWallet,No,2425,No
CUST0212,Male,35,64,One-Year,34,DSL,Yes,No,CreditCard,Yes,2225,No
CUST0213,Male,23,69,Two-Year,102,DSL,No,No,EWallet,No,7040,Yes
CUST0214,Male,54,8,Two-Year,67,FiberOptic,No,No,BankTransfer,No,495,No
CUST0215,Male,65,34,Two-Year,105,FiberOptic,Yes,No,Cash,Yes,3555,No
CUST0216,Male,30,48,Month-to-Month,40,DSL,No,No,EWallet,No,1984,No
CUST0217,Female,45,56,Two-Year,79,DSL,No,Yes,CreditCard,No,4439,Yes
CUST0218,Male,22,65,One-Year,115,FiberOptic,No,No,Cash,No,7541,No
CUST0219,Female,30,31,Two-Year,69,DSL,No,No,CreditCard,No,2122,Yes
CUST0220,Male,34,4,One-Year,42,DSL,No,No,BankTransfer,No,157,Yes
CUST0221,Male,67,50,Month-to-Month,32,FiberOptic,No,Yes,BankTransfer,No,1588,Yes
CUST0222,Male,57,69,Month-to-Month,88,FiberOptic,No,Yes,Cash,No,6152,No
CUST0223,Female,62,30,Month-to-Month,23,FiberOptic,No,Yes,CreditCard,No,709,No
CUST0224,Female,49,59,One-Year,111,DSL,Yes,No,CreditCard,No,6604,No
CUST0225,Female,46,67,Month-to-Month,97,FiberOptic,No,No,CreditCard,No,6541,No
CUST0226,Female,68,45,Month-to-Month,91,FiberOptic,No,Yes,CreditCard,No,4182,Yes
CUST0227,Male,20,4,Month-to-Month,28,FiberOptic,Yes,No,BankTransfer,No,199,No
CUST0228,Female,57,26,Two-Year,54,FiberOptic,No,No,CreditCard,No,1309,Yes
CUST0229,Male,51,27,Month-to-Month,40,DSL,No,No,BankTransfer,No,1031,No
CUST0230,Male,57,46,Month-to-Month,77,DSL,Yes,No,CreditCard,No,3581,No
CUST0231,Female,44,64,Month-to-Month,37,DSL,No,Yes,CreditCard,No,2286,No
CUST0232,Female,30,51,Month-to-Month,116,DSL,No,No,EWallet,Yes,5890,Yes
CUST0233,Female,62,50,Month-to-Month,91,FiberOptic,No,Yes,EWallet,No,4579,Yes
CUST0234,Female,50,6,Month-to-Month,100,FiberOptic,No,No,CreditCard,No,554,No
CUST0235,Female,23,59,Month-to-Month,62,FiberOptic,No,No,BankTransfer,Yes,3572,No
CUST0236,Female,41,15,Two-Year,114,FiberOptic,No,No,CreditCard,No,1801,No
CUST0237,Female,36,30,Two-Year,117,DSL,No,No,EWallet,No,3509,No
CUST0238,Female,33,42,Month-to-Month,25,FiberOptic,Yes,No,CreditCard,No,1018,No
CUST0239,Male,57,37,Two-Year,105,DSL,No,No,EWallet,No,3927,No
CUST0240,Female,45,42,Month-to-Month,97,DSL,Yes,No,CreditCard,No,4016,Yes
CUST0241,Female,50,35,One-Year,86,DSL,No,Yes,Cash,No,2926,Yes
CUST0242,Male,65,6,One-Year,31,FiberOptic,No,No,CreditCard,Yes,183,No
CUST0243,Female,58,68,Month-to-Month,119,No,No,No,BankTransfer,No,8107,No
CUST0244,Male,30,18,Month-to-Month,31,DSL,No,No,EWallet,No,609,No
CUST0245,Male,60,29,Month-to-Month,85,DSL,Yes,No,Cash,No,2438,Yes
CUST0246,Female,62,59,Month-to-Month,21,FiberOptic,Yes,No,EWallet,No,1254,No
CUST0247,Male,42,47,One-Year,34,DSL,Yes,No,EWallet,No,1527,No
CUST0248,Male,59,17,Month-to-Month,42,FiberOptic,No,No,BankTransfer,No,680,No
CUST0249,Male,53,22,Month-to-Month,48,FiberOptic,No,No,CreditCard,No,1006,Yes
CUST0250,Male,44,68,Month-to-Month,100,No,Yes,Yes,BankTransfer,No,6759,No
CUST0251,Female,55,69,Month-to-Month,115,FiberOptic,No,No,CreditCard,Yes,7837,Yes
CUST0252,Male,24,37,Month-to-Month,26,FiberOptic,No,No,Cash,No,965,No
CUST0253,Female,22,49,Month-to-Month,113,FiberOptic,No,No,BankTransfer,No,5441,No
CUST0254,Male,60,13,Two-Year,47,FiberOptic,No,No,BankTransfer,No,538,No
CUST0255,Male,62,34,Month-to-Month,33,FiberOptic,No,No,EWallet,No,1129,Yes
CUST0256,Male,68,53,Month-to-Month,63,DSL,Yes,No,BankTransfer,No,3377,No
CUST0257,Male,48,51,One-Year,49,FiberOptic,No,No,CreditCard,No,2598,No
CUST0258,Female,40,3,Month-to-Month,100,FiberOptic,No,Yes,BankTransfer,No,300,Yes
CUST0259,Female,59,42,One-Year,51,FiberOptic,No,No,BankTransfer,Yes,2241,No
CUST0260,Male,27,32,One-Year,89,FiberOptic,No,No,Cash,No,2823,No
CUST0261,Male,49,51,Month-to-Month,107,FiberOptic,Yes,Yes,CreditCard,Yes,5371,Yes
CUST0262,Female,60,46,Month-to-Month,25,DSL,No,No,EWallet,No,1132,No
CUST0263,Male,47,21,Month-to-Month,46,FiberOptic,No,No,CreditCard,No,913,Yes
CUST0264,Male,56,44,Month-to-Month,101,FiberOptic,No,No,Cash,No,4470,Yes
CUST0265,Male,48,11,Month-to-Month,107,FiberOptic,No,Yes,CreditCard,Yes,1122,Yes
CUST0266,Female,35,68,Month-to-Month,43,No,No,Yes,CreditCard,No,2851,Yes
CUST0267,Female,53,1,Month-to-Month,53,DSL,No,No,BankTransfer,No,-41,No
CUST0268,Female,19,63,Month-to-Month,59,FiberOptic,No,Yes,BankTransfer,No,3815,No
CUST0269,Male,31,24,One-Year,66,DSL,No,No,CreditCard,No,1577,No
CUST0270,Male,30,13,Month-to-Month,98,DSL,No,Yes,CreditCard,Yes,1255,Yes
CUST0271,Female,46,11,Month-to-Month,94,FiberOptic,Yes,No,EWallet,No,1021,Yes
CUST0272,Female,29,51,Month-to-Month,105,DSL,Yes,Yes,Cash,No,5388,No
CUST0273,Female,56,17,Two-Year,43,FiberOptic,Yes,Yes,BankTransfer,No,816,No
CUST0274,Female,19,24,Month-to-Month,84,DSL,No,No,BankTransfer,No,1983,No
CUST0275,Male,49,19,Two-Year,37,DSL,No,Yes,BankTransfer,No,657,No
CUST0276,Female,30,37,Month-to-Month,63,FiberOptic,No,No,BankTransfer,No,2425,Yes
CUST0277,Male,63,8,One-Year,95,FiberOptic,No,No,CreditCard,No,836,No
CUST0278,Female,44,28,Month-to-Month,76,No,Yes,No,CreditCard,Yes,2145,No
CUST0279,Male,66,5,Month-to-Month,47,FiberOptic,Yes,No,EWallet,No,313,No
CUST0280,Female,58,17,Month-to-Month,90,FiberOptic,Yes,Yes,BankTransfer,No,1616,Yes
CUST0281,Female,34,36,Month-to-Month,42,DSL,No,Yes,BankTransfer,Yes,1545,Yes
CUST0282,Female,57,19,Month-to-Month,104,DSL,Yes,No,CreditCard,No,1983,Yes
CUST0283,Female,48,64,Month-to-Month,53,DSL,Yes,No,EWallet,No,3342,No
CUST0284,Male,51,11,One-Year,30,FiberOptic,No,No,CreditCard,No,267,Yes
CUST0285,Female,41,54,Two-Year,105,FiberOptic,No,No,BankTransfer,No,5708,No
CUST0286,Male,62,45,Month-to-Month,54,FiberOptic,Yes,No,BankTransfer,No,2509,No
CUST0287,Male,52,47,Month-to-Month,112,FiberOptic,No,Yes,Cash,Yes,5256,No
CUST0288,Male,65,12,Month-to-Month,61,FiberOptic,No,No,Cash,No,651,No
CUST0289,Male,23,21,One-Year,47,DSL,No,No,Cash,Yes,896,Yes
CUST0290,Female,36,11,Month-to-Month,101,DSL,No,No,EWallet,No,1036,No
CUST0291,Male,47,5,Two-Year,97,FiberOptic,Yes,No,CreditCard,No,432,No
CUST0292,Male,24,56,Month-to-Month,101,FiberOptic,No,No,BankTransfer,No,5646,No
CUST0293,Male,27,20,Month-to-Month,111,FiberOptic,No,Yes,BankTransfer,No,2233,No
CUST0294,Female,58,41,One-Year,43,DSL,Yes,No,EWallet,No,1676,No
CUST0295,Female,49,46,Two-Year,27,No,No,No,BankTransfer,No,1241,No
CUST0296,Female,51,12,Month-to-Month,72,DSL,No,No,BankTransfer,No,950,Yes
CUST0297,Female,45,70,Month-to-Month,91,DSL,No,Yes,CreditCard,No,6281,No
CUST0298,Male,32,17,Two-Year,23,No,Yes,Yes,Cash,No,406,Yes
CUST0299,Male,47,19,Month-to-Month,110,DSL,No,No,Cash,No,2112,Yes
CUST0300,Female,54,26,Two-Year,119,FiberOptic,Yes,No,EWallet,Yes,3016,Yes
